Confusion Matrix:
[[38  0  0 ...  0  0  0]
 [ 0 36  0 ...  0  0  0]
 [ 0  0 45 ...  0  0  0]
 ...
 [ 0  0  0 ... 42  0  0]
 [ 0  0  0 ...  0 36  0]
 [ 0  0  0 ...  0  0 29]]

Classification Report:
              precision    recall  f1-score   support

           0       0.97      0.97      0.97        39
           1       0.95      0.88      0.91        41
           2       0.90      0.98      0.94        46
           3       0.93      0.89      0.91        44
           4       0.93      0.98      0.95        42
           5       0.95      0.98      0.97        43
           6       1.00      1.00      1.00        44
           7       0.93      0.65      0.77        43
           8       1.00      1.00      1.00        39
           9       1.00      0.97      0.99        39
          10       0.94      0.77      0.85        43
          11       0.84      0.80      0.82        40
          12       0.88      0.98      0.92        43
          13       0.95      0.95      0.95        41
          14       0.95      0.88      0.91        41
          15       1.00      0.97      0.99        40
          16       0.93      0.95      0.94        44
          17       0.98      1.00      0.99        42
          18       0.84      0.93      0.88        44
          19       0.91      0.91      0.91        43
          20       0.97      0.93      0.95        41
          21       0.84      0.93      0.88        41
          22       0.89      0.91      0.90        43
          23       0.86      0.76      0.81        42
          24       0.95      0.97      0.96        39
          25       0.95      0.81      0.88        43
          26       1.00      0.95      0.97        40
          27       0.77      0.86      0.81        43
          28       0.95      0.95      0.95        44
          29       0.84      0.88      0.86        43
          30       0.78      0.90      0.84        42
          31       0.93      0.89      0.91        44
          32       0.83      0.93      0.87        41
          33       0.91      0.98      0.94        43
          34       0.91      0.93      0.92        42
          35       1.00      1.00      1.00        41
          36       1.00      0.98      0.99        42
          37       1.00      0.97      0.99        40
          38       0.84      0.95      0.89        43
          39       0.91      0.95      0.93        41
          40       1.00      1.00      1.00        43
          41       0.81      0.95      0.87        40
          42       0.91      0.98      0.94        43
          43       0.92      0.88      0.90        41
          44       0.91      0.66      0.76        44

    accuracy                           0.92      1890
   macro avg       0.92      0.92      0.92      1890
weighted avg       0.92      0.92      0.92      1890
